userName,screenName,userID,userLocation,user_descrip,user_url,followers,friends,user_ctime,source,post_time,tweet_id,tweet_text,favorite_count,retweet_count
ndgree,ndgree,19192361,Nomadic ,"What the hell is going on? she/her. Third culture kid, current nomad, always perturbed, often sarcastic. And I used to work at a job.",,233,1149,2009-01-19 17:34:19+00:00,Twitter for iPad,2022-09-26 23:58:40+00:00,1574549042230882304,RT @B_resnick: This is wild. In 2009 the Tampa Bay Regional Planning Council mapped out its worst case hurricane. Now check out the forecas…,0,69
tofu ●⟐○,certaintyicarus,1047230593346547712,17 • They/Them • 🇲🇽,not spoiler free • updating carrd ! • art acc: @tofutofiito,,196,139,2018-10-02 21:03:24+00:00,Twitter for iPhone,2022-09-26 23:58:39+00:00,1574549039281995776,RT @vengolor: hey uh i need to get out of here like soon. im disabled and homeless staying in where hurricane ian is projected to hit. ther…,0,354
Mike Conley,conleymike,238733725,South Carolina,Arsenal and UGA fan.,,257,1628,2011-01-15 22:32:45+00:00,Twitter for iPhone,2022-09-26 23:58:38+00:00,1574549035129634821,RT @NoUseForTrump: Isn't it interesting that Joe Biden immediately granted Florida's request for emergency funds for Hurricane Ian without…,0,4034
Colleen Hamilton,Colleen_ham1,2392884301,"Clearwater, FL","8 Time Emmy Award-Winning Producer/Director/Writer. Documentaries. Spent decades as a TV News reporter, producer, executive producer.",,2163,3195,2014-03-16 15:23:34+00:00,Twitter Web App,2022-09-26 23:58:38+00:00,1574549034722725888,"RT @ABC: The International Space Station flew over Hurricane Ian as the intensifying storm approaches the western tip of Cuba.

Ian is on a…",0,61
ọjọgbọn,mosudeen,222040960,somewhere in the world,Gunners for life,,2715,4996,2010-12-02 08:59:04+00:00,Twitter for Android,2022-09-26 23:58:37+00:00,1574549032097169409,RT @ABC: The underwater geology of the Gulf of Mexico makes the Gulf Coast particularly unguarded against the massive influx of seawater. h…,0,23
Scott Bodager,scott_bodager,986005848873988096,"Lakewood Ranch, FL",,,98,974,2018-04-16 22:18:08+00:00,Twitter for iPad,2022-09-26 23:58:36+00:00,1574549028557176833,"RT @NOAA: *For the latest on #Ian, see our one-stop page, https://t.co/kqfvNxJHhm.

Find quick access to:

-- Latest forecast information &amp;…",0,63
OpenMindedTexans,OpenTexans,1294311922121224195,,"Open Minded Texans DO Exist. They really do!!!
A terrible, Terrrible Typist!",,451,591,2020-08-14 16:36:51+00:00,Twitter Web App,2022-09-26 23:58:36+00:00,1574549027617906690,"RT @aintscarylarry: Just you watch. If Hurricane Ian doesn’t hit Mar-a-Lardo, trump will claim he diverted it with his tiny mind.",0,65
Pat Barba Duncan 1941,MyWanderingEyes,1400623684008792069,In The Cloud ,"#Retired~ Banking~IT~SystemsAnalyst~TechnicalWriting~Investigations - NY to Florida

#DemExit2016 #NPA #Deplorable 

100%  #Italian",,949,1638,2021-06-04 01:21:37+00:00,Twitter Web App,2022-09-26 23:58:36+00:00,1574549027198504960,RT @kirstiealley: hurricane Ian on its way but let’s all WEAKEN it with our SUPER POWERS!!!! #makeianweak … We are here riding  it out in a…,0,103
Deborah Dean,zdogsdean,254406180,,,,62,346,2011-02-19 06:08:58+00:00,Twitter for iPad,2022-09-26 23:58:36+00:00,1574549025491124248,"RT @OccupyDemocrats: If you’re proud of President Biden after he just did what Trump never would, putting politics aside and pledging all “…",0,308
Kestrel The Dense,KestrelTheDense,992086721859858432,Space Colony Neo Cuba,"I am just a Dense boy with a squishy heart. 5 Star Pitou Hunter. @sailorpitou's husband.
Icon by @nyaswerk
Header made by @sake_hime_cat",,413,1239,2018-05-03 17:01:21+00:00,Twitter Web App,2022-09-26 23:58:34+00:00,1574549020277886976,RT @curemachwindy: Me during Hurricane Ian like https://t.co/VEtfliNeE9,0,1
Ileana Laureano,Ily416,42733718,"Miami, FL",,,85,168,2009-05-26 21:57:00+00:00,Twitter for Android,2022-09-26 23:58:34+00:00,1574549017320894464,"RT @OccupyDemocrats: BREAKING: President Biden does what Trump never would, puts politics aside and pledges all “federal resources” necessa…",0,7031
Kay🫠,KayAreLaa,394318122,"Texas, USA",Hi I go by Kay 🥰 my friends ask me about teeth 😊,,242,239,2011-10-19 22:05:52+00:00,Twitter for iPhone,2022-09-26 23:58:33+00:00,1574549015999324160,"RT @brgridiron: The Buccaneers are evacuating Tampa Bay on Tuesday and will be practicing at the Dolphins’ facility due to Hurricane Ian

T…",0,167
John O'Donnell,johnodonnell7,34959325,"Lake Charles, LA","Creating healthier, prosperous, sustainable and climate proof communities in Louisiana. Executive Director SBP in SWLA. Sometimes athlete. Views are my own.",,754,1032,2009-04-24 15:51:12+00:00,Twitter for iPhone,2022-09-26 23:58:33+00:00,1574549015454269440,RT @SBPUSA: We are currently monitoring Hurricane Ian as it passes over Cuba today. The @NHC_Atlantic expects the storm to strengthen and m…,0,1
Brandone Colvin,NapalmBravo,1439290163918692356,"Meridian, MS",Husband to @Caitycol0712 /Father/Gamer/CO,https://t.co/jXudd2kOrX,52,208,2021-09-18 18:08:29+00:00,Twitter for iPhone,2022-09-26 23:58:33+00:00,1574549013466169345,RT @RadarOmega: Here's a look at the severe weather outlook for the Florida panhandle over the next three days ahead of Hurricane #Ian's ar…,0,6
Rhonda 🌈 🪐,rtinkham,281687769,Nowhere ,"""I'm strong because I know my weaknesses. I'm wise because I've been foolish. I laugh because I've known sadness"". @Adele @AdeleAccess #Adele #daydreamer",,1467,2199,2011-04-13 19:32:04+00:00,Twitter for iPhone,2022-09-26 23:58:32+00:00,1574549012325502976,RT @RedaMor_: BREAKING: Tropical Storm Ian becomes Hurricane Ian as its winds strengthen,0,53
MAX-Q,TedCornwell,1910979834,"Somewhere on A1A, Florida, USA","Iconoclast, skeptic, sapiosexual, jurisprude, sailor. #NoleDawg RTs may mean Read This shit...",,1909,3449,2013-09-27 12:31:32+00:00,Twitter for Android,2022-09-26 23:58:32+00:00,1574549011280822273,RT @tropicalupdate: Latest NHC impacts from Hurricane Ian from the 5pm track. New track comes out at 11pm. https://t.co/Hk3pbO7x8H #flwx #I…,0,98
JDK,dragontailscomp,839663284890525696,Behind Dumpster at Mar-a-Lago,"Ok if you don't follow me. Pls help Vets, Animals, Homeless & Migrants.  99% of what I retweet is w/o comment to remind me of what is going on.  Please Be kind.",,630,1146,2017-03-09 02:25:02+00:00,Twitter Web App,2022-09-26 23:58:32+00:00,1574549009984884737,"@Markc2323 

Thank you for taking my side over the Scorpions. 

With hurricane Ian missing us the house cats are still on alert.

They spy a brown recluse spider above my bed.

Good night, sleep tight.",1,0
Deborah Dean,zdogsdean,254406180,,,,62,346,2011-02-19 06:08:58+00:00,Twitter for iPad,2022-09-26 23:58:31+00:00,1574549008206499840,"RT @OccupyDemocrats: BREAKING: President Biden does what Trump never would, puts politics aside and pledges all “federal resources” necessa…",0,7031
Gotta Go Orlando ☀️,GottaGoOrlando,817570572867670016,"Orlando, FL",Happiness From Orlando’s Theme Parks With Emma & Shane! YouTube & Here! 🌴 Walt Disney World • Universal Orlando • SeaWorld • Busch Gardens • Legoland •,https://t.co/ww7Fo9OPAS,3178,1850,2017-01-07 03:16:29+00:00,Twitter for iPhone,2022-09-26 23:58:31+00:00,1574549007946350602,"Hurricane IAN News🚨

Universal Orlando Resort Currently NOT Planning On Closing Despite Major Storm Approaching

Check out our article:
https://t.co/4IqniNCmNq

#universalorlando #HurricaneIan #universalresort #islandsofAdventure #orlando #universalnews #universalstudiosorlando",5,2
Proud Progessive,Pokemon27039073,967516883464474624,United States,,,136,138,2018-02-24 21:49:35+00:00,Twitter for iPhone,2022-09-26 23:58:31+00:00,1574549005711069184,RT @CharlieCrist: Karla and I offer our thoughts and prayers to the people of Cuba and those with family there as Hurricane Ian makes landf…,0,1366
maria🐄,MariaWumz,1246162588792217600,,she/her🤎,,34,207,2020-04-03 19:48:34+00:00,Twitter for Android,2022-09-26 23:58:31+00:00,1574549005429874688,RT @stephisham12: idk why hurricane Ian wants to come to disney world for epcot40 the merch isn’t even that great,0,245
Namor's defense attorney,la_celeste22,1547779545507323907,,"Nic, she/her. Namor enthusiast and intermittent Marvel fan.",,10,45,2022-07-15 03:06:19+00:00,Twitter for Android,2022-09-26 23:58:30+00:00,1574549003261419521,"RT @lorengrush: Bad News: NASA is rolling back the SLS ahead of Hurricane Ian, further delaying Artemis I
Good News: NASA will let out its…",0,894
Joanne🤍💫,Joanne__2022,1480712553156300804,"Virginia, USA","#Independent #Breaking #News #Crypto #XRP $XRP #Media #Journal #Retweet #Scoop #Hot 
#Developing 
Tips On and appreciated!",,426,744,2022-01-11 01:26:22+00:00,Twitter for Android,2022-09-26 23:58:29+00:00,1574548999889031168,RT @TheInsiderPaper: JUST IN 🚨 US HHS Secretary Xavier Becerra declares public health emergency for Florida in response to Hurricane Ian -…,0,35
Freedom HS Official,OCPS_FreedomHS,4725707603,"Orlando, FL",Freedom High School is an Orange County Public High School serving students in the Hunter's Creek and surrounding areas.,https://t.co/llCNPMJcmw,548,43,2016-01-06 15:11:34+00:00,Twitter for iPhone,2022-09-26 23:58:29+00:00,1574548998970540038,"RT @OCPSnews: *Hurricane Ian Update* Tomorrow, all after school extracurricular activities are canceled except for extended day. Wed. &amp; Thu…",0,140
Alanna O. Mersinger,miramarsian,2159700409,"Miramar, Florida",Commissioner of the South Broward Drainage District. Community and education activist. Involved in politics and campaigns.,,573,925,2013-10-27 21:56:41+00:00,Twitter for iPhone,2022-09-26 23:58:28+00:00,1574548994469941250,RT @CharlieCrist: Karla and I offer our thoughts and prayers to the people of Cuba and those with family there as Hurricane Ian makes landf…,0,1366
Brent Burch,Brent_Burch,601066975,,,,384,549,2012-06-06 15:38:54+00:00,Twitter Web App,2022-09-26 23:58:27+00:00,1574548988463751168,RT @AnaCabrera: Hurricane Center Director calls Hurricane Ian forecast “near worst-case scenario” for Tampa,0,616
Erick Pettersen #BrandStrategist,23KeysErick,80696125,"San Diego, Ca","I help Kingdom builders with a purpose build their personal brands, as well as I talk about stocks, investing & #wealthcreation. #entrepreneurship",https://t.co/0xtzRmXx9k,5560,4637,2009-10-07 22:32:59+00:00,Twitter Web App,2022-09-26 23:58:26+00:00,1574548986685378565,One thing we can learn about the recent Hurricane Kay that ripped through Baja Mexico &amp; Hurricane Ian ripping through Florida is that hurricanes aren't attracted to mobile home parks as we once theorized. They're obviously attracted to peninsulas. https://t.co/bVSwD1LBES,0,0
Kevin Bennett,KevinSonofOlen,264446609,"Gainesville, FL",You found me? Pretty damn good detective work!,,151,530,2011-03-11 22:50:40+00:00,Twitter for iPad,2022-09-26 23:58:26+00:00,1574548984152358912,@AlachuaJury Is jury duty still on for tomorrow? Hurricane Ian. Please advise,1,0
LazDamar,lazdamar,36441443,,Mühendis Avukat Laik Kemalist Özgur Göçmen Tam Bağımsız İnatcı. Doesn't eat fish.,,411,876,2009-04-29 18:53:41+00:00,Twitter for iPad,2022-09-26 23:58:25+00:00,1574548979769307137,RT @kirstiealley: hurricane Ian on its way but let’s all WEAKEN it with our SUPER POWERS!!!! #makeianweak … We are here riding  it out in a…,0,103
Patrick Brown,rubimonkey80,770716593278095361,"Toledo, OH","Saw dust is just man glitter, Jeeps and whisky ... It's a thing",,142,1677,2016-08-30 20:15:30+00:00,Twitter for Android,2022-09-26 23:58:24+00:00,1574548978464587793,RT @NHC_Atlantic: 11 pm EDT Sunday Key Messages for #Ian: Life-threatening storm surge and hurricane-force winds are expected in portions o…,0,370
"November 8, 2022, is the New Independence Day.",TinaPB17,2541122973,"Florida, USA","Roe Roe Roe your Vote.Abort the Filibuster, Assault Weapons and Federal Judges that do not “faithfully and impartially discharge and perform all duties.”",,3335,5000,2014-05-11 14:56:06+00:00,Twitter for iPad,2022-09-26 23:58:24+00:00,1574548976929574914,"RT @StephenKing: They can knock an asteroid off course, but not Hurricane Ian. Boo.",0,1903
RookieUmpire,RookieUmpire,2196350695,Behind Home Plate,Baseball purist. Small ball. Hit & run. Steal bases. Suicide squeeze. No DH. Ever!,,207,847,2013-11-15 17:36:03+00:00,Twitter for Android,2022-09-26 23:58:23+00:00,1574548972915798018,RT @Doc_Chimpanzee: Breaking: governor DeSantis has rerouted hurricane Ian to Martha’s Vineyard https://t.co/YVUBwhHGLe,0,2056
#SirJimRadcliffeIn 🇮🇪🔰,EpicoNovaRaps,1500603500224471043,"Limerick, Ireland",Irish Artist who makes his own songs. They are deep/emotional songs and they’re on every music platform @ManUtd @CelticFC @AFCAjax @Inter @As_Monaco @Bayer04_en,https://t.co/WURDwGIMyi,507,1050,2022-03-06 22:46:09+00:00,Twitter for iPhone,2022-09-26 23:58:22+00:00,1574548970692644865,RT @NatbyNature: Me checking the @weatherchannel for hurricane Ian updates💨 https://t.co/Scv8UIY3T8,0,29
@jalenwebbnba,jalenwebbnba1,4754443717,,,,68,217,2016-01-13 18:48:11+00:00,Twitter for Android,2022-09-26 23:58:22+00:00,1574548968922488832,"RT @nsj: State Fans: Thinking about traveling to support @PackFootball vs. Clemson?

You need to keep an eye on Hurricane Ian. It won't be…",0,1
Madelyn,MaddiL0VESyoux,73571019,San Francisco California,I take me time very seriously.• Why am I not verified yet? • Niners 🏈 Giants ⚾️Warriors 🏀 • she/her,,163,354,2009-09-12 04:35:55+00:00,Twitter for iPhone,2022-09-26 23:58:21+00:00,1574548963134296065,"RT @AdamSchefter: With Hurricane Ian looming, the Buccaneers are evacuating Tampa on Tuesday afternoon and will spend the week practicing a…",0,790
F# PCRSL!ERET 🧨🎰,Moonl1ghtbur,1405682145180504071,Poppytwt and Fruitytwt DNI,"Subtwts: #tnttwt #tntduo #quirkytwt #dsmp #ourtwt  #tubbotwt #tommytwt
yippee | System",,55,164,2021-06-18 00:22:01+00:00,Twitter Web App,2022-09-26 23:58:20+00:00,1574548960110329856,no dream team halloween  #dttwt https://t.co/DX3FJG4GT2,0,0
Half-Stach Gizmo🏴‍☠️#RIPPhantom #foreverBatMom,RhondaHendee,2363042296,Florida,"Gizmo (🐱) General in #ZSHQ / #theaviators Batman 🌈 /
Rhonda (👩) #TWD #Longmire  #DrWho #JrNation #BSG breast cancer survivor #pinkwarriorbatman",https://t.co/NU8vFoWW6v,13229,12434,2014-02-24 14:35:25+00:00,Twitter for Android,2022-09-26 23:58:20+00:00,1574548959523385346,"RT @HoundsInPounds: 🚨 If you are in the path of Hurricane Ian, please write your pet's name and your phone number with a permanent marker o…",0,931
All Things Ian,TheIanFunZone,1017502966302068736,Planet Earth,"An Unofficial fan account for Ian Joseph Somerhalder...for pics, vids, fan art, fun facts, quotes and random stuff.  DISCLAIMER:  I am NOT the 'real' Ian.   😜🙃",https://t.co/hfjHDcw7VU,806,317,2018-07-12 20:16:26+00:00,Twitter Web App,2022-09-26 23:58:19+00:00,1574548955144540160,"RT @mollyhereandnow: To my friends in Florida,  PREPARE NOW for IAN.
Unfortunately,  not Somerhalder.  This is a large hurricane approachin…",0,6
Tic Tock Mrs. Glock,TicTockMrsGlock,296580083,USA,Keep Moving Forward! #BePositive,,1003,3475,2011-05-11 01:28:55+00:00,Twitter for iPhone,2022-09-26 23:58:18+00:00,1574548953743298560,RT @tropicalupdate: Latest NHC impacts from Hurricane Ian from the 5pm track. New track comes out at 11pm. https://t.co/Hk3pbO7x8H #flwx #I…,0,98
Michael Brotschul,michaelsbrody,2627637951,,,,62,172,2014-06-21 05:38:02+00:00,Twitter for iPhone,2022-09-26 23:58:17+00:00,1574548948383039495,RT @Doc_Chimpanzee: Breaking: governor DeSantis has rerouted hurricane Ian to Martha’s Vineyard https://t.co/YVUBwhHGLe,0,2056
All Things Ian,TheIanFunZone,1017502966302068736,Planet Earth,"An Unofficial fan account for Ian Joseph Somerhalder...for pics, vids, fan art, fun facts, quotes and random stuff.  DISCLAIMER:  I am NOT the 'real' Ian.   😜🙃",https://t.co/hfjHDcw7VU,806,317,2018-07-12 20:16:26+00:00,Twitter Web App,2022-09-26 23:58:17+00:00,1574548947728683008,"RT @mollyhereandnow: View the Hurricane Ian on Google Maps
https://t.co/bWORz0uwVs",0,5
𝚄𝚗𝚋𝚘𝚝𝚑𝚎𝚛𝚎𝚍,renor_inaja,1464691360305496073,Jamaica,𝙹 𝙰 𝙼 𝙰 𝙸 𝙲 𝙰 𝙽 🇯🇲| 𝙾𝙱𝙰𝙼𝙰 + 𝙼𝙾𝚃𝙻𝙴𝚈 𝙸𝙽𝚂𝙿𝙸𝚁𝙴𝙳 | 𝙼𝙲𝙼𝚇𝙲𝙸𝙸𝙸 | 𝚅𝙸𝙴𝚆𝚂 𝙴𝚇𝙿𝚁𝙴𝚂𝚂𝙴𝙳 = 𝙼𝙸𝙽𝙴,https://t.co/oIIAHfBhyy,296,622,2021-11-27 20:23:37+00:00,Twitter for iPhone,2022-09-26 23:58:15+00:00,1574548939339988992,While you all create a fuss over Hurricane Ian.  https://t.co/0T9kinYsWN,0,0
Urbnplanr FTL,UrbnplanrFTL,72549898,"Fort Lauderdale, FL",Be in the know as we grow.,https://t.co/zGrnTEYWI0,301,43,2009-09-08 13:20:08+00:00,Twitter Web App,2022-09-26 23:58:14+00:00,1574548937146499074,"Hello everyone, things could get pretty dicey here as Hurricane Ian makes his way into the Gulf of Mexico. We are also experiencing King Tides so this makes a wet situation even wetter as our sewers will no be able to hold back mother nature. Be safe everyone.",0,0
🇺🇸 Jay-Patriot🇺🇸,Jaypatriot90,782563711353577472,,"Believer in God , Pro-life , A patriot who loves this country, Ultra MAGA and Lives in MAGA country.",,7120,3308,2016-10-02 12:51:43+00:00,Twitter for iPhone,2022-09-26 23:58:14+00:00,1574548935859118085,RT @tropicalupdate: Latest NHC impacts from Hurricane Ian from the 5pm track. New track comes out at 11pm. https://t.co/Hk3pbO7x8H #flwx #I…,0,98
Alex Mena,alexmenamiami,394465457,,Managing Editor @miamiherald / @elnuevoherald / Ex-editor in chief @mdcollege Falcon Times & @fiu Beacon / immigrant living American dream in Hialeah,,3317,841,2011-10-20 03:31:29+00:00,Twitter for iPhone,2022-09-26 23:58:13+00:00,1574548932130385920,Flying from MIA or FLL airports this week? What to know about traveling in Hurricane Ian https://t.co/c23GhlVsmr,2,1
Shuckabee,bmenezes,17242446,Denver,"Personal account of Denver-based complexifier, Coltrane/Neil Young worshipper, die-hard Royals, Chiefs, KU supporter, expresser of solely his own opinions.",,1033,1188,2008-11-08 00:58:39+00:00,Twitter for iPhone,2022-09-26 23:58:13+00:00,1574548931421167618,"RT @Mobute: I oppose Ron DeSantis, but I am adult enough to applaud him for showing courage by immediately diverting $50m to combat Hurrica…",0,12
Alfred Gonzales,g11617866,1469771552816132097,"California, USA 🇺🇸","I yam what I yam. ☮️☕️🍸🐝🌎🇺🇸🇲🇽🏴󠁧󠁢󠁷󠁬󠁳󠁿 Tree Hugger ca 1973, Trump is my mortal enemy! Hegel WAS standing on his head. #BlueCrew #Resist",,672,866,2021-12-11 20:51:29+00:00,Twitter for iPhone,2022-09-26 23:58:12+00:00,1574548926845177857,RT @CharlieCrist: Karla and I offer our thoughts and prayers to the people of Cuba and those with family there as Hurricane Ian makes landf…,0,1366
Insurance Tips News,_InsurancesInfo,276828452,USA,"All about #insurance - Info, Tips, News & Reviews",,815,1418,2011-04-04 04:53:57+00:00,IFTTT,2022-09-26 23:58:12+00:00,1574548925985554432,Joe Henderson: Hurricane Ian’s approach exposes Florida’s insurance crisis    https://t.co/kL6BSzvpeg https://t.co/vxjukGpQoL,0,0
Jessie Strain,StrainJessie,2188590566,"Washington, USA","I am me...take me or leave me 😊 Basically this is just a representation of myself i.e. thoughts, feels, wants, needs, etc. Nothing fancy...just real 😏",,469,1221,2013-11-11 15:40:15+00:00,Twitter for Android,2022-09-26 23:58:11+00:00,1574548924509331456,"RT @AKNewsNow: Hurricane Ian could cause problems, depending on the storm’s track as it approaches the United States. https://t.co/JpYz7JZK…",0,1
Debra Billard☮️,runningnole,257231249,,,,464,468,2011-02-25 00:36:40+00:00,Twitter for iPhone,2022-09-26 23:58:11+00:00,1574548923179335680,"RT @Warchant: FSU cancelling classes Tuesday through Friday due to Hurricane Ian.

That doesn’t necessarily impact Saturday game. At least…",0,31
Harry Rivera,harryrbronx,1251836851,"Newburgh, New York",Retired from U.S. Government (Dept of Defense) & U.S. Army.,,671,140,2013-03-08 14:10:20+00:00,Twitter for iPad,2022-09-26 23:58:11+00:00,1574548923032666121,"RT @DailyCaller: Florida will be activating unvaccinated servicemen and women in response to Hurricane Ian.

""Regardless of what DOD may en…",0,567
david knight,knightdavid797,1566757006278594561,Hull ,I love popcorned planet and stef the alter nerd and itskim and Louis and Andy signore l am a hull city fan and hull fc fan and a queen fan since 1989 and f1,,67,633,2022-09-05 11:56:36+00:00,Twitter for Android,2022-09-26 23:58:10+00:00,1574548919903715330,RT @kirstiealley: hurricane Ian on its way but let’s all WEAKEN it with our SUPER POWERS!!!! #makeianweak … We are here riding  it out in a…,0,103
Jennifer,Jennife80131033,1267928184286306304,"New York, USA",,,90,498,2020-06-02 21:17:07+00:00,Twitter for iPhone,2022-09-26 23:58:09+00:00,1574548915046662144,"RT @bblock29: Desantis has ordered Mandatory Evacuations in parts of Florida ahead of Hurricane Ian.

But What about their FREEDOM Gov DeSa…",0,584
Maryanne Tirinnanzi,DolceMaryanne,1717047301,TEMECULA!,Living in SOCAL.  Staying current with public health issues and animal welfare especially burros and mustangs.,,200,131,2013-08-31 22:53:08+00:00,Twitter Web App,2022-09-26 23:58:09+00:00,1574548913218019332,"RT @WelbourneStud: Florida horse owners, Hurricane Ian could be awful. Be prepared https://t.co/DQoI4Rqqhs",0,32
Sαи∂у ⚭,BillsFan4Liife,2911124631,716 Bills Country ,"Family💞 #BillsMafia Where else would you rather be than right here, right now?! Go Bills! Go Sabres! This is OUR time Buffalo.",,2125,1432,2014-12-08 16:20:01+00:00,Twitter Web App,2022-09-26 23:58:09+00:00,1574548912706560000,"RT @SalSports: As of right now, the remnants of Hurricane Ian could impact Bills at Ravens Sunday in Baltimore.  Rain and wind possible.

S…",0,38
Micheline S,allarebananas,882309239498309632,,Proud Resister!  Canadian American who STILL doesn't understand racism.  UNIVERSAL Healthcare!  Tired of these FREAKS running the show!  We all have a purpose~,,2012,1800,2017-07-04 18:44:50+00:00,Twitter Web App,2022-09-26 23:58:08+00:00,1574548908264460288,"@CCVagina One night before a colonoscopy!
@MarciaD9999 @yoharold @cookinmaama Monday, before Hurricane Ian.
Sure hope this puts a smile on your faces~😉💋 https://t.co/00bewK6GWt",3,1
James Woodard,JamesFWoodard,109175940,"WNY/PBG,FL","Father, Husband, Veteran, Bills/Heat/Yankees/Caps FAN, UFC, Poker, Tesla, rockets & missiles #letsgoo #billsmafia. Favorite follows: Elon Musk, Dana White, Bert",https://t.co/PJEh623hAN,42,117,2010-01-28 05:44:50+00:00,Twitter for iPhone,2022-09-26 23:58:07+00:00,1574548904385073153,"RT @pbcsd: HURRICAN IAN UPDATE: The School District, in coordination with federal, state, and local emergency managers, continues to active…",0,98
RSSNews,rss_newsfeed,886163896268083201,,"Automatic news on Twitter, pulled from RSS feeds.
May randomly stop tweeting from time to time",,7,0,2017-07-15 10:01:51+00:00,Zapier.com,2022-09-26 23:58:05+00:00,1574548896226975744,"NYT: Hurricane Ian’s Uncertain Path Keeps Much of Florida on Alert
https://t.co/WWwvyO7Y2c",0,0
Ninnette Lavender,ninnlav,53539140,"North Carolina, USA",,,172,1305,2009-07-04 00:00:27+00:00,Twitter for iPhone,2022-09-26 23:58:04+00:00,1574548894754930688,RT @EricLynnFL: Hurricane Ian is likely to hit Pinellas in the next 48 hours. Please be safe. Thread below are steps to prepare for a hurri…,0,18
My Dog Ben & Cat Blue ☮🌻🌊,Kimberly_SoFL,1155402679,South FL,"""...Because right matters. And the truth matters. Otherwise, we are lost."" -Adam Schiff  #FBR #BLM #LGBQT🌈Ally #Atheist #BlueCrew 🌊 Former Chicagoan",,9709,9976,2013-02-06 23:23:48+00:00,Twitter Web App,2022-09-26 23:58:04+00:00,1574548893152542721,RT @CharlieCrist: Karla and I offer our thoughts and prayers to the people of Cuba and those with family there as Hurricane Ian makes landf…,0,1366
Margaret McDonald🇨🇦,McdonaldMcdo54,2734340015,,"Retired, not tired, passionate about poverty issues, social justice and public education. love 🇨🇦 and democracy",,2159,2371,2014-08-05 18:18:12+00:00,Twitter for iPad,2022-09-26 23:58:03+00:00,1574548890610966533,"RT @OccupyDemocrats: BREAKING: President Biden does what Trump never would, puts politics aside and pledges all “federal resources” necessa…",0,7031
Alicia,kathrun_,3221010408,Texas 🏡,A risky biscuit 🧀,,49,101,2015-05-20 05:27:40+00:00,Twitter for Android,2022-09-26 23:58:03+00:00,1574548887955701773,"RT @lorengrush: Bad News: NASA is rolling back the SLS ahead of Hurricane Ian, further delaying Artemis I
Good News: NASA will let out its…",0,894
onwithshahan,onwithshahan,1187203998702395392,"Miami, FL",On with Shahan Podcast with host @realdonshahan,https://t.co/mkIIkrX8Fo,86,60,2019-10-24 03:07:55+00:00,Twitter for iPhone,2022-09-26 23:58:02+00:00,1574548885552234496,"RT @RealDonShahan: Hurricane Ian and Crypto's ""Cone of Uncertainty"" 

You can now watch the recording of Monday Night’s Crypto Livestream…",0,2
John Reynolds,JohnReynoldsSNN,900348878674939905,"Sarasota, FL",Sports Director @SNNTV / RT’s ≠ Endorsements / KY ➡️ FL / Husband & Dog Dad,https://t.co/PzDbSQEXm3,581,523,2017-08-23 13:27:55+00:00,TweetDeck,2022-09-26 23:58:01+00:00,1574548878992769024,"A full #Suncoast high school football slate this week, or any slate at all, is NOT likely due to #HurricaneIan. @SNNTV https://t.co/FtBBSam8Ok",0,0
EB,EdBook4,547804015,"Gainesville, FL",,https://t.co/3SbwlatD40,50,42,2012-04-07 18:14:16+00:00,Twitter for iPhone,2022-09-26 23:58:00+00:00,1574548877658640386,RT @AlachuaChronic1: Gainesville Mayor Lauren Poe has signed an executive order declaring a local state of emergency as Hurricane Ian conti…,0,2
gmardini,gmardini1,336570455,Montreal,,,6,116,2011-07-16 14:35:59+00:00,Twitter for iPhone,2022-09-26 23:57:59+00:00,1574548873078484992,"RT @OccupyDemocrats: BREAKING: President Biden does what Trump never would, puts politics aside and pledges all “federal resources” necessa…",0,7031
Concesa A. Cockrell,conce1959,28569143,United States,"wife, mother, grandmother",,131,421,2009-04-03 14:07:54+00:00,Twitter for iPhone,2022-09-26 23:57:59+00:00,1574548872709697537,RT @newsmax: Hurricane Ian was growing stronger as it barreled toward Cuba on a track to hit Florida’s west coast as a major hurricane as e…,0,33
sean,seaneneh,780247129080078336,sean#2170,"he/any | gay | music, tf2, tetris, & gd nerd | #MontesMonday",,850,977,2016-09-26 03:26:26+00:00,Twitter for iPhone,2022-09-26 23:57:59+00:00,1574548872357351424,RT @Ironik0422: I didn't know there was a hurricane so I thought Ian from smosh was terrorizing the entirety of fucking Florida,0,2486
JB,JBCalifornia57,1461473099438866443,,,,18,106,2021-11-18 23:16:12+00:00,Twitter for iPad,2022-09-26 23:57:59+00:00,1574548870616743936,"@senatormelendez Haven’t you heard, their going up due to hurricane Ian.",1,0
Linda Hutchison,LindaHu14367111,1348089698087010308,,"Long Covid...The disabled vastly outnumber the dead...Do what you will, harm none.
FYI Liberal Kentuckians fight back...
Nolite te bastardes carborundorum! ...",,997,1438,2021-01-10 02:10:31+00:00,Twitter for Android,2022-09-26 23:57:59+00:00,1574548870473859074,"RT @tropicalupdate: For those saying I am hyping and posting just for clicks: ""National Hurricane Center director calls Ian forecast a ""nea…",0,301
